entry_date,trades,daily_pnl,daily_winrate
2023-03-06,4,-30.637179521555083,0.25
2023-03-08,1,-47.09050244966329,0.0
2023-03-09,2,1564.860049264517,1.0
2023-03-10,4,-583.9609736844294,0.0
2023-03-13,4,168.26220685520715,0.25
2023-03-14,5,-2107.667096560638,0.2
2023-03-15,2,268.06740980363156,0.5
2023-03-16,5,-1495.1691116254246,0.0
2023-03-17,1,138.95853796688766,1.0
2023-03-20,4,80.05722921017752,0.5
2023-03-21,2,-757.7702831396142,0.0
2023-03-22,5,-796.1480909547305,0.0
2023-03-23,3,234.01549468457534,0.3333333333333333
2023-03-24,4,-215.06326031786375,0.25
2023-03-27,5,-1118.5768207831122,0.0
2023-03-28,3,-381.1483637413435,0.0
2023-03-29,3,-1035.7986583980726,0.0
2023-03-31,2,-1311.5506042709828,0.0
2023-04-03,4,-599.5131695062776,0.0
2023-04-05,1,-370.2957919714058,0.0
2023-04-06,2,-552.5223895286887,0.0
2023-04-10,3,-1010.1681389071739,0.0
2023-04-11,2,-172.48230276957392,0.5
2023-04-12,2,-326.90862871176046,0.0
2023-04-13,2,-212.86982565956242,0.5
2023-04-17,3,-143.52890767125365,0.3333333333333333
2023-04-18,2,228.4775566049192,1.0
2023-04-19,2,-52.13603566479165,0.5
2023-04-20,3,-230.99799278926815,0.0
2023-04-21,2,-19.374810133478746,0.5
2023-04-24,2,-219.99710669360832,0.0
2023-04-25,4,-988.131101713786,0.0
2023-04-26,4,-515.5148140209026,0.0
2023-04-27,3,72.91844113315616,0.3333333333333333
2023-04-28,3,-1165.5548742233839,0.0
2023-05-02,4,-865.6057509432864,0.0
2023-05-03,3,-307.1424964437181,0.0
2023-05-04,1,-242.45791579410408,0.0
2023-05-05,3,-309.27181984647234,0.0
2023-05-08,2,-264.5717541711552,0.0
2023-05-09,3,-322.72209067342936,0.0
2023-05-10,3,-393.2632286972013,0.0
2023-05-11,5,-621.1678385400053,0.0
2023-05-12,2,-972.032143694714,0.5
2023-05-15,1,-46.67422597850521,0.0
2023-05-16,4,-274.78023282432196,0.5
2023-05-17,2,476.8862268281989,0.5
2023-05-18,2,-766.6312458198117,0.0
2023-05-19,3,-220.49432779691625,0.3333333333333333
2023-05-22,2,-1893.2499845193072,0.0
2023-05-23,4,-63.1577166089981,0.25
2023-05-24,2,-235.1255225708574,0.5
2023-05-25,3,-257.2384303670473,0.3333333333333333
2023-05-29,3,-499.93008901044163,0.0
2023-05-30,3,-362.65406238577157,0.0
2023-05-31,1,601.2227467054811,1.0
2023-06-01,4,-518.5197962035497,0.0
2023-06-02,4,-567.8866555646135,0.0
2023-06-05,3,-409.59780128562693,0.0
2023-06-06,3,-147.15553562765967,0.3333333333333333
2023-06-07,4,-1223.2027337503719,0.0
2023-06-08,3,-41.23793413029438,0.6666666666666666
2023-06-09,4,-418.4929860801917,0.25
2023-06-12,4,-656.4378143528008,0.0
2023-06-13,4,-385.08584985622554,0.0
2023-06-14,3,-268.4412909354603,0.0
2023-06-15,4,-515.2762904079044,0.25
2023-06-16,2,-269.8932213926935,0.0
2023-06-19,4,254.37590193022743,0.75
2023-06-21,2,-224.91856828769818,0.0
2023-06-22,4,60.478059900649555,0.5
2023-06-23,3,-270.07089328827914,0.3333333333333333
2023-06-26,2,-197.60914709895803,0.0
2023-06-27,2,-259.6341274402878,0.0
