entry_date,trades,daily_pnl,daily_winrate
2023-03-08,2,104.94640805803883,0.5
2023-03-09,1,-127.86855996246672,0.0
2023-03-10,5,-735.5674320357718,0.0
2023-03-13,3,-1066.8008925879121,0.0
2023-03-14,5,-1453.553243514647,0.0
2023-03-15,2,-1199.7856861168095,0.0
2023-03-16,5,-1017.9029625925182,0.2
2023-03-17,2,-336.8106273454232,0.5
2023-03-20,4,-482.6209911369449,0.25
2023-03-21,2,399.30476434072557,0.5
2023-03-22,5,-929.8104988901458,0.0
2023-03-23,2,24.829666906195364,0.5
2023-03-24,4,-837.7488790816932,0.0
2023-03-27,5,-834.5498856882814,0.0
2023-03-28,4,-1364.2835859681609,0.0
2023-03-29,3,17.931155155273345,0.6666666666666666
2023-03-31,2,435.3687771295847,0.5
2023-04-03,4,-397.51897754243197,0.0
2023-04-05,1,454.2356925084586,1.0
2023-04-06,2,-200.01765159615914,0.5
2023-04-10,2,34.10121073055677,0.5
2023-04-11,3,-281.3484297922822,0.3333333333333333
2023-04-12,2,-123.73978201406081,0.5
2023-04-13,2,-680.9621133861563,0.0
2023-04-17,3,56.07777377187696,0.3333333333333333
2023-04-18,2,-260.2711264800669,0.0
2023-04-19,2,-136.88211611214942,0.0
2023-04-20,3,-238.5147990709269,0.3333333333333333
2023-04-21,2,3.524423720118051,0.5
2023-04-24,2,321.42342374245754,0.5
2023-04-25,3,-231.8080465744209,0.3333333333333333
2023-04-26,5,-311.1862891960008,0.4
2023-04-27,3,-381.7995715938509,0.0
2023-04-28,3,652.9987092160242,0.3333333333333333
2023-05-02,3,-272.4511659650317,0.0
2023-05-03,4,-1294.301743621634,0.0
2023-05-04,1,349.59277700691445,1.0
2023-05-05,2,-487.1756638634047,0.0
2023-05-08,2,529.3130802183033,0.5
2023-05-09,3,-15.479571535888596,0.3333333333333333
2023-05-10,4,-504.413372637857,0.25
2023-05-11,4,-406.8465471636334,0.0
2023-05-12,2,-207.5364828719334,0.5
2023-05-15,1,-340.4093565025101,0.0
2023-05-16,4,-837.8849899535688,0.0
2023-05-17,3,-161.3996105502336,0.3333333333333333
2023-05-18,1,-166.7076807912098,0.0
2023-05-19,4,-2635.522011348923,0.0
2023-05-22,2,865.4154355524187,1.0
2023-05-23,3,-321.0756797185885,0.0
2023-05-24,2,-285.4337584061326,0.5
2023-05-25,4,1301.61418353087,0.25
2023-05-29,2,-280.169764241177,0.0
2023-05-30,4,-495.3435920272274,0.5
2023-05-31,1,44.249116971094935,1.0
2023-06-01,3,-369.13895038220255,0.0
2023-06-02,5,-244.37814993968965,0.4
2023-06-05,2,-213.0009079715701,0.0
2023-06-06,4,-743.5492647649055,0.0
2023-06-07,4,-547.5005373711149,0.25
2023-06-08,2,-117.43953947467594,0.5
2023-06-09,4,-661.765479984545,0.0
2023-06-12,4,-432.80619406546856,0.0
2023-06-13,5,-60.81844181074812,0.2
2023-06-14,2,46.269001202545354,0.5
2023-06-15,4,-608.7376905139581,0.0
2023-06-16,3,202.53365693909805,0.3333333333333333
2023-06-19,3,-438.51576943733767,0.0
2023-06-20,1,658.3290676101705,1.0
2023-06-21,2,-171.67617600783512,0.5
2023-06-22,3,-524.616377951817,0.0
2023-06-23,3,-436.23835401575315,0.0
2023-06-26,3,-79.70507941664201,0.3333333333333333
2023-06-27,1,-79.60327794674389,0.0
