datetime,stock_code,exchange_code,product_type,expiry_date,right,strike_price,open,high,low,close,volume,open_interest,count
2022-07-15 11:43:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15977,15979.4,15976,15978.1,12500,12080800,3898
2022-07-15 11:44:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15978.2,15979,15975.75,15978.15,8650,12086300,3899
2022-07-15 11:45:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15977.7,15988.9,15977.7,15988.35,32700,12086300,3900
2022-07-15 11:46:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15988.95,15993,15988.85,15992.5,33300,12086300,3901
2022-07-15 11:47:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15991.4,15997.45,15991.4,15993.3,58350,12095950,3902
2022-07-15 11:48:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15995,15996.8,15992.2,15995.3,44800,12095950,3903
2022-07-15 11:49:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15997,15998.5,15993.05,15995,16700,12095950,3904
2022-07-15 11:50:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15995.55,15998,15988.9,15990,20550,12116750,3905
2022-07-15 11:51:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15990.45,15992.3,15987.2,15988.85,9850,12116750,3906
2022-07-15 11:52:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15987.45,15988.85,15986.65,15988,10250,12116750,3907
2022-07-15 11:53:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15988,15991.45,15987,15987,7300,12128700,3908
2022-07-15 11:54:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15989.3,15996,15987.7,15995.2,7450,12128700,3909
2022-07-15 11:55:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15995.4,15996.75,15990,15990,17550,12128700,3910
2022-07-15 11:56:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15989.35,15990.2,15984.05,15986,8300,12134950,3911
2022-07-15 11:57:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15986.4,15986.4,15982.7,15984.05,11800,12134950,3912
2022-07-15 11:58:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15983.45,15985.85,15983,15984.4,4200,12134950,3913
2022-07-15 11:59:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15985,15986.95,15981.3,15986.35,7650,12136650,3914
2022-07-15 12:00:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15987.05,15989.65,15985,15985.5,9400,12136650,3915
2022-07-15 12:01:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15985,15985,15981.55,15982,5550,12136650,3916
2022-07-15 12:02:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15980.95,15984.05,15978.2,15980,7700,12136600,3917
2022-07-15 12:03:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15980.2,15981.5,15971,15972,15750,12136600,3918
2022-07-15 12:04:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15972.2,15973.45,15966,15966.25,19200,12136600,3919
2022-07-15 12:05:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15966,15966.15,15955.7,15962.1,30800,12127900,3920
2022-07-15 12:06:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15963,15965,15961.3,15963.15,10300,12127900,3921
2022-07-15 12:07:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15963.95,15963.95,15953.25,15953.55,21400,12127900,3922
2022-07-15 12:08:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15953.05,15957.9,15952.8,15956.1,18250,12123600,3923
2022-07-15 12:09:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15953,15953.45,15946,15948,40750,12123600,3924
2022-07-15 12:10:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15946.5,15952.65,15946,15951.9,29900,12123600,3925
