timestamp,strikePrice,type,expiryDate,lastPrice,openInterest,changeinOpenInterest,impliedVolatility,underlyingValue
2025-11-03 00:04:58.670839,22750,PE,25-Nov-2025,6.5,101.0,-27.0,22.37,25722.1
2025-11-03 00:04:58.670842,22800,CE,25-Nov-2025,3229.85,293.0,0.0,0.0,25722.1
2025-11-03 00:04:58.670844,22800,PE,25-Nov-2025,7.3,453.0,43.0,22.4,25722.1
2025-11-03 00:04:58.670846,22850,CE,04-Nov-2025,2966.35,84.0,0.0,76.97,25722.1
2025-11-03 00:04:58.670848,22850,PE,04-Nov-2025,0.45,56680.0,3875.0,38.84,25722.1
2025-11-03 00:04:58.670851,22850,CE,25-Nov-2025,3198.9,5.0,0.0,0.0,25722.1
2025-11-03 00:04:58.670854,22850,PE,25-Nov-2025,6.5,39.0,1.0,21.71,25722.1
2025-11-03 00:04:58.670857,22850,CE,30-Dec-2025,0.0,0.0,0.0,0.0,25722.1
2025-11-03 00:04:58.670859,22850,PE,30-Dec-2025,21.5,59.0,0.0,0.0,25722.1
2025-11-03 00:04:58.670862,22900,CE,04-Nov-2025,3101.15,4.0,0.0,0.0,25722.1
2025-11-03 00:04:58.670864,22900,PE,04-Nov-2025,0.45,21221.0,9007.0,38.19,25722.1
2025-11-03 00:04:58.670866,22900,CE,25-Nov-2025,3148.9,4.0,0.0,0.0,25722.1
2025-11-03 00:04:58.670869,22900,PE,25-Nov-2025,6.5,279.0,83.0,21.38,25722.1
2025-11-03 00:04:58.670871,22900,CE,30-Dec-2025,0.0,0.0,0.0,0.0,25722.1
2025-11-03 00:04:58.670874,22900,PE,30-Dec-2025,22.3,102.0,1.0,17.82,25722.1
2025-11-03 00:04:58.670876,22950,CE,04-Nov-2025,3051.4,1.0,0.0,0.0,25722.1
2025-11-03 00:04:58.670879,22950,PE,04-Nov-2025,0.5,7126.0,5622.0,37.9,25722.1
2025-11-03 00:04:58.670881,22950,CE,25-Nov-2025,3099.3,4.0,0.0,0.0,25722.1
2025-11-03 00:04:58.670884,22950,PE,25-Nov-2025,6.5,27.0,1.0,21.06,25722.1
2025-11-03 00:04:58.670886,22950,CE,30-Dec-2025,3270.45,1.0,0.0,0.0,25722.1
2025-11-03 00:04:58.670888,22950,PE,30-Dec-2025,48.55,45.0,0.0,0.0,25722.1
2025-11-03 00:04:58.670891,23000,CE,04-Nov-2025,2803.8,268.0,-21.0,69.74,25722.1
2025-11-03 00:04:58.670894,23000,PE,04-Nov-2025,0.65,24154.0,4010.0,38.16,25722.1
2025-11-03 00:04:58.670896,23000,CE,25-Nov-2025,2894.6,8461.0,209.0,20.03,25722.1
2025-11-03 00:04:58.670899,23000,PE,25-Nov-2025,6.8,17182.0,580.0,20.86,25722.1
2025-11-03 00:04:58.670902,23000,CE,30-Dec-2025,3074.9,8437.666666666666,-6.0,0.0,25722.1
2025-11-03 00:04:58.670904,23000,PE,30-Dec-2025,25.6,30897.666666666668,-156.0,17.76,25722.1
2025-11-03 00:04:58.670907,23000,CE,31-Mar-2026,3866.6,9.0,0.0,0.0,25722.1
2025-11-03 00:04:58.670908,23000,PE,31-Mar-2026,78.2,6188.0,2.0,16.26,25722.1
2025-11-03 00:04:58.670911,23000,CE,30-Jun-2026,4010.0,10.0,0.0,0.0,25722.1
2025-11-03 00:04:58.670913,23000,PE,30-Jun-2026,99.8,2846.3333333333335,53.333333333333336,15.3,25722.1
2025-11-03 00:04:58.670915,23000,PE,29-Sep-2026,170.0,22.0,0.0,0.0,25722.1
2025-11-03 00:04:58.670918,23000,CE,29-Dec-2026,4600.0,71.0,3.0,0.0,25722.1
2025-11-03 00:04:58.670920,23000,PE,29-Dec-2026,271.5,1161.3333333333333,-3.0,18.22,25722.1
2025-11-03 00:04:58.670922,23000,PE,29-Jun-2027,0.0,0.0,0.0,0.0,25722.1
2025-11-03 00:04:58.670925,23000,PE,28-Dec-2027,470.0,39.0,0.0,20.68,25722.1
2025-11-03 00:04:58.670928,23000,PE,27-Jun-2028,0.0,0.0,0.0,0.0,25722.1
2025-11-03 00:04:58.670934,23000,PE,26-Dec-2028,643.65,43.0,0.0,0.0,25722.1
2025-11-03 00:04:58.670937,23000,PE,26-Jun-2029,0.0,0.0,0.0,0.0,25722.1
2025-11-03 00:04:58.670939,23000,PE,24-Dec-2029,550.0,34.0,0.0,0.0,25722.1
2025-11-03 00:04:58.670942,23000,PE,25-Jun-2030,0.0,0.0,0.0,0.0,25722.1
2025-11-03 00:04:58.670944,23050,CE,04-Nov-2025,2951.9,1.0,0.0,0.0,25722.1
2025-11-03 00:04:58.670947,23050,PE,04-Nov-2025,0.6,225.0,-6.0,37.21,25722.1
2025-11-03 00:04:58.670949,23050,CE,25-Nov-2025,2998.9,4.0,0.0,0.0,25722.1
2025-11-03 00:04:58.670952,23050,PE,25-Nov-2025,6.3,12.0,-5.0,20.31,25722.1
2025-11-03 00:04:58.670954,23050,CE,30-Dec-2025,3173.1,1.0,0.0,0.0,25722.1
2025-11-03 00:04:58.670956,23050,PE,30-Dec-2025,35.95,25.0,0.0,0.0,25722.1
2025-11-03 00:04:58.670959,23100,CE,04-Nov-2025,2902.15,1.0,0.0,0.0,25722.1
2025-11-03 00:04:58.670961,23100,PE,04-Nov-2025,0.6,1039.0,346.0,36.55,25722.1
2025-11-03 00:04:58.670964,23100,CE,25-Nov-2025,2914.5,34.0,0.0,0.0,25722.1
2025-11-03 00:04:58.670966,23100,PE,25-Nov-2025,6.9,389.0,158.0,20.24,25722.1
2025-11-03 00:04:58.670968,23100,CE,30-Dec-2025,3316.4,1.0,0.0,0.0,25722.1
2025-11-03 00:04:58.670971,23100,PE,30-Dec-2025,30.75,40.0,0.0,0.0,25722.1
2025-11-03 00:04:58.670973,23150,CE,04-Nov-2025,2852.25,1.0,0.0,0.0,25722.1
2025-11-03 00:04:58.670976,23150,PE,04-Nov-2025,0.55,580.0,128.0,35.6,25722.1
2025-11-03 00:04:58.670979,23150,CE,25-Nov-2025,2901.35,4.0,0.0,0.0,25722.1
2025-11-03 00:04:58.670981,23150,PE,25-Nov-2025,8.0,6.0,0.0,0.0,25722.1
2025-11-03 00:04:58.670983,23150,CE,30-Dec-2025,3267.8,1.0,0.0,0.0,25722.1
2025-11-03 00:04:58.670985,23150,PE,30-Dec-2025,42.05,30.0,0.0,0.0,25722.1
2025-11-03 00:04:58.670988,23200,CE,04-Nov-2025,2690.0,6.0,0.0,0.0,25722.1
2025-11-03 00:04:58.670990,23200,PE,04-Nov-2025,0.6,890.0,235.0,35.23,25722.1
2025-11-03 00:04:58.670993,23200,CE,25-Nov-2025,2720.0,10.0,0.0,24.85,25722.1
2025-11-03 00:04:58.670996,23200,PE,25-Nov-2025,7.25,443.0,-41.0,19.71,25722.1
2025-11-03 00:04:58.670998,23200,CE,30-Dec-2025,3027.25,1.0,0.0,0.0,25722.1
2025-11-03 00:04:58.671000,23200,PE,30-Dec-2025,23.55,87.0,0.0,0.0,25722.1
2025-11-03 00:04:58.671003,23250,CE,04-Nov-2025,2750.25,2.0,0.0,0.0,25722.1
2025-11-03 00:04:58.671005,23250,PE,04-Nov-2025,0.65,263.0,-15.0,34.83,25722.1
2025-11-03 00:04:58.671008,23250,CE,25-Nov-2025,2801.95,6.0,0.0,0.0,25722.1
2025-11-03 00:04:58.671010,23250,PE,25-Nov-2025,55.2,15.0,0.0,0.0,25722.1
2025-11-03 00:04:58.671013,23250,CE,30-Dec-2025,3170.55,1.0,0.0,0.0,25722.1
2025-11-03 00:04:58.671015,23250,PE,30-Dec-2025,54.25,77.0,0.0,0.0,25722.1
2025-11-03 00:04:58.671017,23300,CE,04-Nov-2025,2700.4,2.0,0.0,0.0,25722.1
2025-11-03 00:04:58.671019,23300,PE,04-Nov-2025,0.6,2460.0,1144.0,33.91,25722.1
2025-11-03 00:04:58.671021,23300,CE,11-Nov-2025,2530.0,11.0,1.0,34.78,25722.1
2025-11-03 00:04:58.671024,23300,PE,11-Nov-2025,1.7,3134.0,2204.0,23.14,25722.1
2025-11-03 00:04:58.671026,23300,CE,25-Nov-2025,2746.05,91.0,0.0,0.0,25722.1
2025-11-03 00:04:58.671029,23300,PE,25-Nov-2025,7.3,420.0,-6.0,19.07,25722.1
2025-11-03 00:04:58.671031,23300,CE,30-Dec-2025,3124.85,1.0,0.0,0.0,25722.1
2025-11-03 00:04:58.671033,23300,PE,30-Dec-2025,25.35,541.0,17.0,16.24,25722.1
2025-11-03 00:04:58.671035,23350,CE,04-Nov-2025,2652.95,1.0,0.0,0.0,25722.1
2025-11-03 00:04:58.671037,23350,PE,04-Nov-2025,1.1,766.0,606.0,35.31,25722.1
2025-11-03 00:04:58.671040,23350,CE,11-Nov-2025,2635.45,8.0,0.0,0.0,25722.1
2025-11-03 00:04:58.671042,23350,PE,11-Nov-2025,2.5,109.0,0.0,23.74,25722.1
2025-11-03 00:04:58.671044,23350,CE,25-Nov-2025,2703.0,6.0,0.0,0.0,25722.1
2025-11-03 00:04:58.671046,23350,PE,25-Nov-2025,21.0,27.0,0.0,0.0,25722.1
2025-11-03 00:04:58.671049,23350,CE,30-Dec-2025,3073.2,1.0,0.0,0.0,25722.1
2025-11-03 00:04:58.671052,23350,PE,30-Dec-2025,31.0,58.0,0.0,0.0,25722.1
2025-11-03 00:04:58.671054,23400,CE,04-Nov-2025,2603.05,1.0,0.0,0.0,25722.1
2025-11-03 00:04:58.671056,23400,PE,04-Nov-2025,0.85,2111.0,387.0,33.72,25722.1
2025-11-03 00:04:58.671059,23400,CE,11-Nov-2025,2449.05,8.0,2.0,37.5,25722.1
2025-11-03 00:04:58.671061,23400,PE,11-Nov-2025,2.15,351.0,222.0,22.88,25722.1
2025-11-03 00:04:58.671063,23400,CE,18-Nov-2025,2621.7,3.0,0.0,0.0,25722.1
2025-11-03 00:04:58.671066,23400,PE,18-Nov-2025,0.0,0.0,0.0,0.0,25722.1
2025-11-03 00:04:58.671068,23400,CE,25-Nov-2025,2655.3,5.0,0.0,0.0,25722.1
2025-11-03 00:04:58.671070,23400,PE,25-Nov-2025,8.1,543.0,9.0,18.69,25722.1
2025-11-03 00:04:58.671073,23400,CE,30-Dec-2025,3024.7,1.0,0.0,0.0,25722.1
2025-11-03 00:04:58.671074,23400,PE,30-Dec-2025,28.0,1612.0,3.0,16.04,25722.1
2025-11-03 00:04:58.671077,23450,CE,04-Nov-2025,2553.35,3.0,0.0,0.0,25722.1
2025-11-03 00:04:58.671079,23450,PE,04-Nov-2025,0.65,779.0,353.0,32.17,25722.1
2025-11-03 00:04:58.671081,23450,CE,11-Nov-2025,2536.9,8.0,0.0,0.0,25722.1
2025-11-03 00:04:58.671084,23450,PE,11-Nov-2025,2.8,19.0,4.0,23.16,25722.1
2025-11-03 00:04:58.671086,23450,CE,18-Nov-2025,2571.8,4.0,0.0,0.0,25722.1
2025-11-03 00:04:58.671088,23450,PE,18-Nov-2025,0.0,0.0,0.0,0.0,25722.1
2025-11-03 00:04:58.671090,23450,CE,25-Nov-2025,2602.9,30.0,0.0,0.0,25722.1
2025-11-03 00:04:58.671093,23450,PE,25-Nov-2025,9.9,41.0,0.0,0.0,25722.1
2025-11-03 00:04:58.671095,23450,CE,30-Dec-2025,2976.2,1.0,0.0,0.0,25722.1
2025-11-03 00:04:58.671097,23450,PE,30-Dec-2025,48.85,37.0,0.0,0.0,25722.1
2025-11-03 00:04:58.671099,23500,CE,04-Nov-2025,2429.35,232.0,0.0,0.0,25722.1
2025-11-03 00:04:58.671101,23500,PE,04-Nov-2025,0.8,19210.0,-667.0,32.16,25722.1
2025-11-03 00:04:58.671103,23500,CE,11-Nov-2025,2347.6,6.0,1.0,35.89,25722.1
2025-11-03 00:04:58.671106,23500,PE,11-Nov-2025,2.35,1954.0,102.0,22.22,25722.1
2025-11-03 00:04:58.671109,23500,CE,18-Nov-2025,2522.15,5.0,0.0,0.0,25722.1
2025-11-03 00:04:58.671112,23500,PE,18-Nov-2025,5.9,969.0,165.0,19.93,25722.1
2025-11-03 00:04:58.671115,23500,CE,25-Nov-2025,2400.0,3395.0,51.0,17.64,25722.1
2025-11-03 00:04:58.671119,23500,PE,25-Nov-2025,8.2,9656.0,-209.0,18.04,25722.1
2025-11-03 00:04:58.671121,23500,CE,30-Dec-2025,2602.75,192.0,-39.0,0.0,25722.1
2025-11-03 00:04:58.671124,23500,PE,30-Dec-2025,30.9,5079.0,47.0,15.84,25722.1
2025-11-03 00:04:58.671126,23550,CE,04-Nov-2025,2451.45,4.0,0.0,0.0,25722.1
2025-11-03 00:04:58.671129,23550,PE,04-Nov-2025,0.75,494.0,30.0,31.29,25722.1
2025-11-03 00:04:58.671131,23550,CE,11-Nov-2025,2427.85,5.0,0.0,0.0,25722.1
2025-11-03 00:04:58.671134,23550,PE,11-Nov-2025,3.05,44.0,22.0,22.48,25722.1
2025-11-03 00:04:58.671137,23550,CE,18-Nov-2025,2472.55,3.0,0.0,0.0,25722.1
2025-11-03 00:04:58.671139,23550,PE,18-Nov-2025,0.0,0.0,0.0,0.0,25722.1
2025-11-03 00:04:58.671141,23550,CE,25-Nov-2025,2506.95,7.0,0.0,0.0,25722.1
2025-11-03 00:04:58.671144,23550,PE,25-Nov-2025,8.3,35.0,9.0,17.74,25722.1
2025-11-03 00:04:58.671146,23550,CE,30-Dec-2025,2688.3,2.0,0.0,0.0,25722.1
2025-11-03 00:04:58.671149,23550,PE,30-Dec-2025,35.95,28.0,0.0,0.0,25722.1
2025-11-03 00:04:58.671151,23600,CE,04-Nov-2025,2391.4,2.0,0.0,0.0,25722.1
2025-11-03 00:04:58.671153,23600,PE,04-Nov-2025,0.7,1045.0,-621.0,30.41,25722.1
2025-11-03 00:04:58.671156,23600,CE,11-Nov-2025,2376.55,4.0,0.0,0.0,25722.1
2025-11-03 00:04:58.671159,23600,PE,11-Nov-2025,2.3,392.0,109.0,21.28,25722.1
2025-11-03 00:04:58.671161,23600,CE,18-Nov-2025,2423.1,5.0,0.0,0.0,25722.1
2025-11-03 00:04:58.671163,23600,PE,18-Nov-2025,5.0,32.0,9.0,18.72,25722.1
2025-11-03 00:04:58.671166,23600,CE,25-Nov-2025,2461.3,28.0,0.0,0.0,25722.1
2025-11-03 00:04:58.671169,23600,PE,25-Nov-2025,9.3,533.0,-14.0,17.71,25722.1
2025-11-03 00:04:58.671172,23600,CE,30-Dec-2025,2640.1,2.0,0.0,0.0,25722.1
2025-11-03 00:04:58.671174,23600,PE,30-Dec-2025,33.6,56.0,0.0,15.6,25722.1
2025-11-03 00:04:58.671176,23650,CE,04-Nov-2025,2395.05,3.0,0.0,0.0,25722.1
2025-11-03 00:04:58.671179,23650,PE,04-Nov-2025,0.85,198.0,-150.0,30.33,25722.1
2025-11-03 00:04:58.671181,23650,CE,11-Nov-2025,2328.35,6.0,0.0,0.0,25722.1
2025-11-03 00:04:58.671183,23650,PE,11-Nov-2025,2.05,19.0,0.0,20.55,25722.1
2025-11-03 00:04:58.671185,23650,CE,18-Nov-2025,2373.4,4.0,0.0,0.0,25722.1
2025-11-03 00:04:58.671188,23650,PE,18-Nov-2025,0.0,0.0,0.0,0.0,25722.1
2025-11-03 00:04:58.671190,23650,CE,25-Nov-2025,2407.2,4.0,0.0,0.0,25722.1
2025-11-03 00:04:58.671193,23650,PE,25-Nov-2025,9.0,12.0,5.0,17.28,25722.1
2025-11-03 00:04:58.671195,23650,CE,30-Dec-2025,2591.85,2.0,0.0,0.0,25722.1
2025-11-03 00:04:58.671198,23650,PE,30-Dec-2025,32.9,26.0,0.0,0.0,25722.1
2025-11-03 00:04:58.671200,23700,CE,04-Nov-2025,2304.1,2.0,0.0,0.0,25722.1
2025-11-03 00:04:58.671203,23700,PE,04-Nov-2025,0.85,5397.0,1220.0,29.65,25722.1
2025-11-03 00:04:58.671205,23700,CE,11-Nov-2025,2148.55,5.0,1.0,33.39,25722.1
2025-11-03 00:04:58.671208,23700,PE,11-Nov-2025,2.25,228.0,27.0,20.33,25722.1
2025-11-03 00:04:58.671211,23700,CE,18-Nov-2025,2323.95,5.0,0.0,0.0,25722.1
2025-11-03 00:04:58.671213,23700,PE,18-Nov-2025,6.5,4.0,3.0,18.65,25722.1
2025-11-03 00:04:58.671216,23700,CE,25-Nov-2025,2315.45,34.0,0.0,0.0,25722.1
2025-11-03 00:04:58.671219,23700,PE,25-Nov-2025,9.0,2064.0,33.0,16.94,25722.1
2025-11-03 00:04:58.671222,23700,CE,30-Dec-2025,2543.85,2.0,0.0,0.0,25722.1
2025-11-03 00:04:58.671224,23700,PE,30-Dec-2025,35.7,438.0,-6.0,15.27,25722.1
2025-11-03 00:04:58.671227,23750,CE,04-Nov-2025,2280.0,2.0,0.0,0.0,25722.1
2025-11-03 00:04:58.671229,23750,PE,04-Nov-2025,0.75,467.0,61.0,28.61,25722.1
2025-11-03 00:04:58.671231,23750,CE,11-Nov-2025,2236.45,6.0,0.0,0.0,25722.1
2025-11-03 00:04:58.671234,23750,PE,11-Nov-2025,3.45,23.0,7.0,20.98,25722.1
2025-11-03 00:04:58.671236,23750,CE,18-Nov-2025,2274.4,6.0,0.0,0.0,25722.1
2025-11-03 00:04:58.671239,23750,PE,18-Nov-2025,0.0,0.0,0.0,0.0,25722.1
2025-11-03 00:04:58.671241,23750,CE,25-Nov-2025,2307.65,7.0,0.0,0.0,25722.1
2025-11-03 00:04:58.671243,23750,PE,25-Nov-2025,11.15,46.0,0.0,0.0,25722.1
2025-11-03 00:04:58.671246,23750,CE,30-Dec-2025,2495.65,2.0,0.0,0.0,25722.1
2025-11-03 00:04:58.671248,23750,PE,30-Dec-2025,34.7,57.0,0.0,14.92,25722.1
2025-11-03 00:04:58.671250,23800,CE,04-Nov-2025,2194.85,5.0,0.0,0.0,25722.1
2025-11-03 00:04:58.671252,23800,PE,04-Nov-2025,0.8,8220.0,-1891.0,28.12,25722.1
2025-11-03 00:04:58.671255,23800,CE,11-Nov-2025,2166.5,9.0,0.0,0.0,25722.1
2025-11-03 00:04:58.671258,23800,PE,11-Nov-2025,3.15,152.0,10.0,20.28,25722.1
2025-11-03 00:04:58.671260,23800,CE,18-Nov-2025,2224.85,6.0,0.0,0.0,25722.1
